Case Model,Width (inches),Depth (inches),Square Footage,Rounded Square Footage,Bolea Square Footage,Square Footage with Space in Warehouse,Case Size,AltDescription
1 skid 145x30x15,145,30,30.2083,31,,31,,
1 skid 183x4x4,183,4,5.0833,6,,6,,
1 skid 73x33x73,73,33,16.7292,17,,17,,
1 skid 74x40x68,74,40,20.5556,21,,21,,
1 skid 97x31x53,97,31,20.8819,21,,21,,
1 skid 97x33x73,97,33,22.2292,23,,23,,
1 skid parts,48,48,16,20,20,20,,
2RVCC30,65,48,21.6667,22,25,25,,Zero Zone Doors
2RVZC30,65,48,21.6667,22,25,25,,Zero Zone Doors
3RVC,,,,,,32,,
3RVCC30,95,48,31.6667,32,35,35,,Zero Zone Doors
3RVEC30,95,48,31.6667,32,35,35,,Zero Zone 3 Door Case
3RVZ,,,,,,32,,
3RVZC30,95,48,31.6667,32,35,35,,Zero Zone Doors
4RVC,,,,,,42,,
4RVCC30,125,48,41.6667,42,45,45,,Zero Zone Doors
4RVZ,,,,,,42,,
4RVZC30,123,48,41,41,45,45,,Zero Zone 4 Door Case
4RVZC30,123,48,41,41,45,45,,Zero Zone Doors
5DMLH12,148,48,49.3333,50,,55,,
5DMLH4,54,48,18,18,,20,,
5DMLH6,76,48,25.3333,26,,30,,
5DMLH8,100,48,33.3333,34,,38,,
5RVCC30,155,48,51.6667,52,55,55,,Zero Zone Doors
5RVZ,,,,,,52,,
5RVZC30,155,48,51.6667,52,55,55,,Zero Zone 5 Door Case
5RVZC30,155,48,51.6667,52,55,55,,Zero Zone Doors
6DMLH12,150,48,50,50,,55,,
6DMLH4,52,48,17.3333,18,,25,,
6DMLH6,100,48,33.3333,34,,38,,
6DMLH8,100,48,33.3333,34,38,38,,8' High Multi-Deck Merchandiser
8TD-6R,105,66,48.125,49,,55,,
AGB-5R-7580-CBOM,171,118,140.125,141,,145,,
AGB-5R-7580-CBOM,186,114,147.25,148,150,150,,
AGB-5R-CBOM,171,118,140.125,141,,145,,
BLF-144CR-DRS-CBOM,152,50,52.7778,53,55,55,,
BLF-144SR Self Service Bakery,152,43,45.3889,46,,50,,
BLF-144SR-CBOM,152,50,52.7778,53,,55,,
BLF-48R,56,50,19.4444,20,,25,4',service bakery
BLF-48R,52,48,17.3333,18,,25,4',service bakery
BLF-48R *Box,52,48,17.3333,18,,25,4',service bakery box parts
BLF-77CR-7580-CBOM,84,50,29.1667,,,35,,
BLF-77CR-DRS-CBOM,84,56,32.6667,33,,40,,
BLF-77CR-DRS-CBOM,84,56,32.6667,33,,35,,
BLF-77CR-DRS-CBOM,84,50,29.1667,30,35,35,,
BLF-77CR-DRS-CBOM,84,50,29.1667,30,35,35,,
BLF-96CR,105,50,36.4583,37,,40,96°,Specialty Case
BLF-96CR-DRS-CBOM,105,50,36.4583,37,45,45,,
BMD-10R MIT R Service Bakery,130,70,63.1944,64,,68,,
BMD-10R Service Bakery,130,70,63.1944,64,,68,,
BMD-10R-54-Bakery-MIT-CBOM,130,70,63.1944,64,,68,,
BMD-12R,152,50,52.7778,53,,55,12',Specialty Case
BMD-12R-51-Bakery-CBOM,152,50,52.7778,53,,55,,
BMD-12R-54-Bakery-MIT-CBOM,152,50,52.7778,53,,55,12',
BMD-4R MIT L/R Service Bakery,96,50,33.3333,34,,35,,
BMD-4R MIT R Service Bakery,96,50,33.3333,,,35,,
BMD-4R-54-Bakery-CBOM,96,50,33.3333,34,,35,,
BMD-4R-54-Bakery-MIT-CBOM,66,50,22.9167,23,,30,,
BMD-4R-54-BK-MIT-Fort7580-CBOM,66,50,22.9167,23,,30,,
BMD-6R MIT L Service Bakery,105,50,36.4583,37,,45,,
